short_name,long_name,overall,nationality_name,shooting,passing,defending
M. Pjanić,Miralem Pjanić,86,Bosnia and Herzegovina,68.0,87.0,75.0
M. Škriniar,Milan Škriniar,86,Slovakia,41.0,54.0,88.0
Diego Costa,Diego da Silva Costa,86,Spain,83.0,63.0,40.0
C. Marchisio,Claudio Marchisio,86,Italy,73.0,83.0,76.0
L. Sané,Leroy Aziz Sané,86,Germany,84.0,81.0,38.0
A. Gómez,Alejandro Darío Gómez,86,Argentina,79.0,82.0,39.0
Koke,Jorge Resurrección Merodio,86,Spain,75.0,86.0,75.0
Y. Sommer,Yann Sommer,86,Switzerland,,,
Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,86,Brazil,79.0,74.0,29.0
J. Henderson,Jordan Henderson,86,England,74.0,84.0,81.0
L. Martínez,Lautaro Javier Martínez,86,Argentina,83.0,72.0,48.0
N. Barella,Nicolò Barella,86,Italy,76.0,83.0,77.0
S. Milinković-Savić,Sergej Milinković-Savić,86,Serbia,80.0,82.0,79.0
M. Brozović,Marcelo Brozović,86,Croatia,74.0,81.0,81.0
Miranda,João Miranda de Souza Filho,86,Brazil,49.0,60.0,88.0
Sokratis,Sokratis Papastathopoulos,86,Greece,52.0,55.0,87.0
C. Lenglet,Clément Nicolas Laurent Lenglet,86,France,45.0,67.0,87.0
T. Werner,Timo Werner,86,Germany,85.0,69.0,35.0
H. Ziyech,Hakim Ziyech,86,Morocco,76.0,87.0,50.0
R. Nainggolan,Radja Nainggolan,86,Belgium,80.0,78.0,81.0
Javi Martínez,Javier Martínez Aginaga,86,Spain,60.0,69.0,86.0
K. Trapp,Kevin Trapp,86,Germany,,,
Marcos Llorente,Marcos Llorente Moreno,86,Spain,80.0,81.0,78.0
S. Gnabry,Serge David Gnabry,86,Germany,84.0,80.0,43.0
Filipe Luís,Filipe Luís Kasmirski,86,Brazil,62.0,78.0,83.0
Azpilicueta,César Azpilicueta Tanco,86,Spain,55.0,77.0,87.0
K. Coman,Kingsley Junior Coman,86,France,77.0,79.0,30.0
Carvajal,Daniel Carvajal Ramos,86,Spain,54.0,78.0,82.0
B. Leno,Bernd Leno,86,Germany,,,
A. Barzagli,Andrea Barzagli,86,Italy,37.0,56.0,89.0
H. Mkhitaryan,Henrikh Mkhitaryan,86,Armenia,79.0,81.0,55.0
V. Kompany,Vincent Jean Mpoy Kompany,86,Belgium,54.0,64.0,84.0
Alex Sandro,Alex Sandro Lobo Silva,86,Brazil,65.0,77.0,81.0
D. Payet,Dimitri Payet,86,France,78.0,87.0,42.0
B. Matuidi,Blaise Matuidi,86,France,67.0,78.0,83.0
Santi Cazorla,Santiago Cazorla González,86,Spain,78.0,85.0,57.0
Xavi,Xavier Hernández Creus,86,Spain,72.0,90.0,60.0
I. Perišić,Ivan Perišić,86,Croatia,81.0,79.0,42.0
M. Depay,Memphis Depay,86,Netherlands,84.0,82.0,30.0
M. Götze,Mario Götze,86,Germany,76.0,82.0,35.0
Y. Touré,Gnégnéri Yaya Touré,86,Côte d'Ivoire,82.0,81.0,73.0
K. Casteels,Koen Casteels,86,Belgium,,,
Naldo,Ronaldo Aparecido Rodrigues,86,Brazil,69.0,64.0,87.0
M. Benatia,Medhi Amine El Mouttaqi Benatia,86,Morocco,45.0,54.0,87.0
Douglas Costa,Douglas Costa de Souza,86,Brazil,75.0,81.0,43.0
N. Otamendi,Nicolás Hernán Gonzalo Otamendi,86,Argentina,57.0,63.0,86.0
N. Matić,Nemanja Matić,86,Serbia,71.0,79.0,83.0
Hulk,Givanildo Vieira de Souza,86,Brazil,87.0,81.0,43.0
David Luiz,David Luiz Moreira Marinho,86,Brazil,64.0,74.0,84.0
T. Alderweireld,Toby Alderweireld,86,Belgium,58.0,72.0,87.0
Y. Carrasco,Yannick Ferreira Carrasco,85,Belgium,79.0,78.0,29.0
İ. Gündoğan,İlkay Gündoğan,85,Germany,80.0,85.0,73.0
Morata,Álvaro Borja Morata Martín,85,Spain,81.0,71.0,24.0
A. Witsel,Axel Laurent Angel Lambert Witsel,85,Belgium,75.0,80.0,82.0
P. Gulácsi,Péter Gulácsi,85,Hungary,,,
Y. Brahimi,Yacine Brahimi,85,Algeria,75.0,78.0,41.0
Jorginho,Luiz Frello Filho Jorge,85,Italy,67.0,86.0,73.0
N. Fekir,Nabil Fekir,85,France,83.0,82.0,38.0
Paulinho,José Paulo Bezzera Maciel Júnior,85,Brazil,81.0,77.0,79.0
K. Walker,Kyle Walker,85,England,63.0,77.0,80.0
L. Koscielny,Laurent Koscielny,85,France,40.0,63.0,85.0
S. Ruffier,Stéphane Ruffier,85,France,,,
D. Subašić,Danijel Subašić,85,Croatia,,,
Xabi Alonso,Xabier Alonso Olano,85,Spain,70.0,87.0,77.0
Saúl,Saúl Ñíguez Esclápez,85,Spain,78.0,79.0,78.0
Juan Mata,Juan Manuel Mata García,85,Spain,75.0,84.0,31.0
K. Glik,Kamil Jacek Glik,85,Poland,32.0,44.0,86.0
Oyarzabal,Mikel Oyarzabal Ugarte,85,Spain,82.0,81.0,41.0
M. de Ligt,Matthijs de Ligt,85,Netherlands,58.0,66.0,83.0
K. Manolas,Konstantinos Manolas,85,Greece,18.0,42.0,86.0
D. Alli,Bamidele Alli,85,England,81.0,80.0,71.0
A. Hakimi,Achraf Hakimi Mouh,85,Morocco,75.0,80.0,76.0
M. Mandžukić,Mario Mandžukić,85,Croatia,80.0,71.0,66.0
S. de Vrij,Stefan de Vrij,85,Netherlands,41.0,64.0,87.0
A. Lopes,Anthony Lopes,85,Portugal,,,
Willian,Willian Borges da Silva,85,Brazil,74.0,80.0,51.0
J. Terry,John Terry,85,England,47.0,57.0,87.0
E. Džeko,Edin Džeko,85,Bosnia and Herzegovina,85.0,71.0,46.0
J. Hart,Charles Joseph John Hart,85,England,,,
Luis Alberto,Luis Alberto Romero Alconchel,85,Spain,76.0,86.0,54.0
Iago Aspas,Iago Aspas Juncal,85,Spain,84.0,77.0,35.0
R. Bürki,Roman Bürki,85,Switzerland,,,
G. Wijnaldum,Georginio Gregion Emile Wijnaldum,85,Netherlands,74.0,79.0,77.0
Pizzi,Luís Miguel Afonso Fernandes,85,Portugal,79.0,85.0,64.0
A. Onana,André Onana,85,Cameroon,,,
Arthur,Arthur Henrique Ramos de Oliveira Melo,85,Brazil,73.0,82.0,74.0
J. Giménez,José María Giménez de Vargas,85,Uruguay,45.0,52.0,86.0
Allan,Allan Marques Loureiro,85,Brazil,71.0,78.0,85.0
Neto,Norberto Murara Neto,85,Brazil,,,
N. Süle,Niklas Süle,85,Germany,42.0,55.0,86.0
Diogo Jota,Diogo José Teixeira da Silva,85,Portugal,83.0,75.0,57.0
Y. Tielemans,Youri Tielemans,85,Belgium,80.0,86.0,72.0
W. Ndidi,Onyinye Wilfred Ndidi,85,Nigeria,62.0,68.0,87.0
M. Acuña,Marcos Javier Acuña,85,Argentina,74.0,83.0,80.0
F. Kostić,Filip Kostić,85,Serbia,78.0,82.0,68.0
M. Rashford,Marcus Rashford,85,England,84.0,79.0,43.0
T. Hernández,Theo Bernard François Hernández,85,France,72.0,76.0,78.0
P. Foden,Philip Foden,85,England,78.0,81.0,56.0
F. Valverde,Federico Santiago Valverde Dipetta,85,Uruguay,79.0,81.0,78.0
Marco Asensio,Marco Asensio Willemsen,85,Spain,84.0,83.0,43.0
Pedri,Pedro González López,85,Spain,67.0,81.0,68.0
K. Schmeichel,Kasper Peter Schmeichel,85,Denmark,,,
S. Khedira,Sami Khedira,85,Germany,76.0,80.0,81.0
J. Vertonghen,Jan Vertonghen,85,Belgium,65.0,73.0,85.0
P. Schick,Patrik Schick,85,Czech Republic,83.0,71.0,36.0
N. Gaitán,Osvaldo Nicolás Fabián Gaitán,85,Argentina,74.0,83.0,39.0
J. Mascherano,Javier Alejandro Mascherano,85,Argentina,53.0,71.0,85.0
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,85,Portugal,66.0,79.0,81.0
J. Pastore,Javier Matías Pastore,85,Argentina,77.0,84.0,58.0
K. Havertz,Kai Lukas Havertz,85,Germany,81.0,79.0,45.0
Dani Alves,Daniel Alves da Silva,85,Brazil,70.0,76.0,78.0
S. Mandanda,Steve Mandanda,85,France,,,
C. Bravo,Claudio Andrés Bravo Muñoz,85,Chile,,,
Y. Bounou,Yassine Bounou,85,Morocco,,,
E. Martínez,Damián Emiliano Martínez,85,Argentina,,,
J. Bellingham,Jude Victor William Bellingham,85,England,75.0,79.0,78.0
G. Kobel,Gregor Kobel,85,Switzerland,,,
Aduriz,Aritz Aduriz Zubeldia,84,Spain,83.0,64.0,46.0
W. Sneijder,Wesley Sneijder,84,Netherlands,81.0,87.0,45.0
João Moutinho,João Filipe Iria Santos Moutinho,84,Portugal,75.0,86.0,72.0
S. Sirigu,Salvatore Sirigu,84,Italy,,,
Lucas Leiva,Lucas Pezzini Leiva,84,Brazil,66.0,76.0,83.0
Casillas,Iker Casillas Fernández,84,Spain,,,
A. Turan,Arda Turan,84,Turkey,74.0,83.0,63.0
S. Nasri,Samir Nasri,84,France,76.0,83.0,39.0
Alex Telles,Alex Nicolao Telles,84,Brazil,71.0,83.0,80.0
I. Gueye,Idrissa Gana Gueye,84,Senegal,61.0,71.0,85.0
L. Hernández,Lucas François Bernard Hernández Pi,84,France,54.0,70.0,83.0
B. Höwedes,Benedikt Höwedes,84,Germany,47.0,63.0,85.0
W. Ben Yedder,Wissam Ben Yedder,84,France,82.0,77.0,39.0
J. Brandt,Julian Brandt,84,Germany,78.0,82.0,49.0
T. Partey,Thomas Partey,84,Ghana,73.0,81.0,82.0
Felipe,Felipe Augusto de Almeida Monteiro,84,Brazil,41.0,57.0,85.0
J. Iličić,Josip Iličić,84,Slovenia,84.0,84.0,43.0
F. Acerbi,Francesco Acerbi,84,Italy,50.0,62.0,86.0
A. Martial,Anthony Martial,84,France,82.0,73.0,41.0
K. Strootman,Kevin Strootman,84,Netherlands,74.0,82.0,78.0
D. Tadić,Dušan Tadić,84,Serbia,78.0,84.0,41.0
M. Perin,Mattia Perin,84,Italy,,,
J. Cuadrado,Juan Guillermo Cuadrado Bello,84,Colombia,74.0,77.0,66.0
Kepa,Kepa Arrizabalaga Revuelta,84,Spain,,,
Bruno,Bruno Soriano Llido,84,Spain,72.0,79.0,78.0
E. Bailly,Eric Bertrand Bailly,84,Côte d'Ivoire,42.0,59.0,84.0
R. Fährmann,Ralf Sebastian Fährmann,84,Germany,,,
E. Višća,Edin Višća,84,Bosnia and Herzegovina,79.0,78.0,47.0
F. Thauvin,Florian Tristan Mariano Thauvin,84,France,81.0,81.0,42.0
Oscar,Oscar dos Santos Emboaba Júnior,84,Brazil,75.0,81.0,43.0
Felipe Anderson,Felipe Anderson Pereira Gomes,84,Brazil,77.0,79.0,56.0
É. Banega,Éver Maximiliano David Banega,84,Argentina,73.0,84.0,77.0
Ander Herrera,Ander Herrera Agüera,84,Spain,72.0,81.0,76.0
S. Mustafi,Shkodran Mustafi,84,Germany,57.0,64.0,83.0
G. Xhaka,Granit Xhaka,84,Switzerland,66.0,81.0,72.0
C. Smalling,Chris Smalling,84,England,46.0,56.0,83.0
A. Ramsey,Aaron James Ramsey,84,Wales,77.0,80.0,68.0
J. Draxler,Julian Draxler,84,Germany,80.0,82.0,52.0
T. Horn,Timo Horn,84,Germany,,,
Pedro,Pedro Eliezer Rodríguez Ledesma,84,Spain,79.0,77.0,37.0
Sergio Asenjo,Sergio Asenjo Andrés,84,Spain,,,
Jonas,Jonas Gonçalves Oliveira,84,Brazil,86.0,75.0,35.0
D. Sturridge,Daniel Andre Sturridge,84,England,83.0,69.0,25.0
E. Garay,Ezequiel Marcelo Garay,84,Argentina,57.0,68.0,87.0
H. Ben Arfa,Hatem Ben Arfa,84,France,82.0,79.0,40.0
José Reina,José Manuel Reina Páez,84,Spain,,,
O. Dembélé,Ousmane Dembélé,84,France,79.0,79.0,36.0
Canales,Sergio Canales Madrazo,84,Spain,77.0,83.0,57.0
José Callejón,José María Callejón Bueno,84,Spain,78.0,75.0,47.0
Raúl Albiol,Raúl Albiol Tortajada,84,Spain,41.0,61.0,86.0
M. Sabitzer,Marcel Sabitzer,84,Austria,83.0,81.0,67.0
R. Jiménez,Raúl Alonso Jiménez Rodríguez,84,Mexico,82.0,76.0,49.0
L. Digne,Lucas Digne,84,France,69.0,80.0,80.0
M. Kovačić,Mateo Kovačić,84,Croatia,69.0,82.0,69.0
J. Corona,Jesús Manuel Corona Ruíz,84,Mexico,68.0,78.0,77.0
Illarramendi,Asier Illarramendi Andonegi,84,Spain,71.0,80.0,80.0
Jesús Navas,Jesús Navas González,84,Spain,69.0,79.0,80.0
L. Hrádecký,Lukáš Hrádecký,84,Finland,,,
N. Tagliafico,Nicolás Alejandro Tagliafico,84,Argentina,56.0,74.0,82.0
Grimaldo,Alejandro Grimaldo García,84,Spain,65.0,79.0,77.0
R. Guerreiro,Raphaël Adelino José Guerreiro,84,Portugal,77.0,84.0,73.0
Rui Patrício,Rui Pedro dos Santos Patrício,84,Portugal,,,
M. Dembélé,Mousa Sidi Yaya Dembélé,84,Belgium,71.0,77.0,77.0
Ö. Toprak,Ömer Toprak,84,Turkey,39.0,62.0,85.0
D. De Rossi,Daniele De Rossi,84,Italy,66.0,78.0,83.0
K. Huntelaar,Klaas-Jan Huntelaar,84,Netherlands,85.0,64.0,32.0
A. Pirlo,Andrea Pirlo,84,Italy,69.0,91.0,55.0
André Silva,André Miguel Valente da Silva,84,Portugal,85.0,70.0,47.0
T. Lemar,Thomas Lemar,84,France,78.0,82.0,62.0
G. Krychowiak,Grzegorz Krychowiak,84,Poland,58.0,73.0,81.0
C. Bacca,Carlos Arturo Bacca Ahumada,84,Colombia,81.0,64.0,24.0
André Gomes,André Filipe Tavares Gomes,84,Portugal,71.0,80.0,71.0
Quaresma,Ricardo Andrade Quaresma Bernardo,84,Portugal,74.0,82.0,24.0
D. Vlahović,Dušan Vlahović,84,Serbia,85.0,66.0,28.0
S. Kjær,Simon Thorup Kjær,84,Denmark,55.0,65.0,86.0
Rodrigo,Rodrigo Moreno Machado,84,Spain,81.0,73.0,44.0
Sergi Roberto,Sergio Roberto Carnicer,84,Spain,63.0,81.0,80.0
F. Kessié,Franck Yannick Kessié,84,Côte d'Ivoire,74.0,74.0,82.0
João Félix,João Félix Sequeira,84,Portugal,80.0,81.0,40.0
M. Diaby,Moussa Diaby,84,France,73.0,75.0,42.0
Rafael Leão,Rafael Alexandre Conceição Leão,84,Portugal,77.0,73.0,27.0
William Carvalho,William Silva de Carvalho,84,Portugal,59.0,74.0,82.0
K. Trippier,Kieran Trippier,84,England,64.0,82.0,80.0
Muniain,Iker Muniain Goñi,84,Spain,77.0,82.0,51.0
J. Matip,Joël Andre Job Matip,84,Cameroon,46.0,69.0,87.0
J. Koundé,Jules Koundé,84,France,45.0,64.0,85.0
M. Mount,Mason Mount,84,England,81.0,85.0,55.0
A. Davies,Alphonso Boyle Davies,84,Canada,66.0,77.0,76.0
F. Chiesa,Federico Chiesa,84,Italy,81.0,76.0,48.0
A. Bastoni,Alessandro Bastoni,84,Italy,35.0,69.0,86.0
R. James,Reece James,84,England,70.0,82.0,80.0
Éder Militão,Éder Gabriel Militão,84,Brazil,50.0,70.0,85.0
L. Díaz,Luis Fernando Díaz Marulanda,84,Colombia,80.0,75.0,34.0
S. Tonali,Sandro Tonali,84,Italy,73.0,81.0,79.0
D. Rice,Declan Rice,84,England,64.0,74.0,82.0
S. Savić,Stefan Savić,84,Montenegro,35.0,58.0,87.0
F. Tomori,Fikayo Tomori,84,England,40.0,60.0,86.0
J. Grealish,Jack Grealish,84,England,76.0,83.0,46.0
H. Çalhanoğlu,Hakan Çalhanoğlu,84,Turkey,80.0,85.0,68.0
D. Berardi,Domenico Berardi,84,Italy,81.0,81.0,36.0
R. De Paul,Rodrigo Javier De Paul,84,Argentina,77.0,83.0,75.0
M. Ødegaard,Martin Ødegaard,84,Norway,75.0,86.0,58.0
L. Pellegrini,Lorenzo Pellegrini,84,Italy,77.0,83.0,74.0
Fernando,Fernando Francisco Reges,84,Brazil,62.0,75.0,83.0
H. Maguire,Harry Maguire,84,England,55.0,69.0,85.0
M. Ginter,Matthias Ginter,84,Germany,58.0,72.0,86.0
L. Shaw,Luke Shaw,84,England,54.0,79.0,81.0
D. Sánchez,Davinson Sánchez Mina,84,Colombia,45.0,57.0,84.0
D. Zapata,Duván Esteban Zapata Banguera,84,Colombia,82.0,61.0,35.0
G. Cahill,Gary Cahill,84,England,58.0,52.0,84.0
J. Martínez,Jackson Arley Martínez Valencia,84,Colombia,82.0,67.0,44.0
A. Ramsey,Aaron Ramsey,84,Wales,77.0,80.0,68.0
P. Højbjerg,Pierre-Emile Kordt Højbjerg,84,Denmark,73.0,78.0,81.0
J. Maddison,James Maddison,84,England,81.0,85.0,54.0
Gabriel Jesus,Gabriel Fernando de Jesus,84,Brazil,83.0,74.0,40.0
S. Gerrard,Steven Gerrard,84,England,82.0,86.0,69.0
Lucas Moura,Lucas Rodrigues Moura da Silva,84,Brazil,79.0,76.0,42.0
J. Pavlenka,Jiří Pavlenka,84,Czech Republic,,,
Rúben Neves,Rúben Diogo da Silva Neves,84,Portugal,74.0,86.0,76.0
Luiz Gustavo,Luiz Gustavo Dias,83,Brazil,60.0,71.0,82.0
Giuliano,Giuliano Victor de Paula,83,Brazil,78.0,79.0,46.0
B. Dost,Bas Leon Dost,83,Netherlands,83.0,57.0,45.0
Adán,Antonio Adán Garrido,83,Spain,,,
M. Balotelli,Mario Barwuah Balotelli,83,Italy,84.0,73.0,24.0
J. Pickford,Jordan Pickford,83,England,,,
Nacho Fernández,José Ignacio Fernández Iglesias,83,Spain,37.0,66.0,81.0
R. Jarstein,Rune Almenning Jarstein,83,Norway,,,
Danilo Pereira,Danilo Luís Hélio Pereira,83,Portugal,64.0,70.0,82.0
J. Stones,John Stones,83,England,36.0,69.0,84.0
L. Bender,Lars Bender,83,Germany,64.0,73.0,85.0
Suso,Jesús Joaquín Fernández Sáez de la Torre,83,Spain,76.0,83.0,33.0
K. Kampl,Kevin Kampl,83,Slovenia,67.0,80.0,63.0
Angeliño,José Ángel Esmoris Tasende,83,Spain,71.0,82.0,76.0
Á. Correa,Ángel Martín Correa,83,Argentina,84.0,77.0,49.0
R. Gosens,Robin Everardus Gosens,83,Germany,75.0,74.0,77.0
S. Kagawa,香川 真司,83,Japan,71.0,76.0,31.0
Ferran Torres,Ferran Torres García,83,Spain,79.0,79.0,35.0
Raphinha,Raphael Dias Belloli,83,Brazil,79.0,76.0,50.0
Merino,Mikel Merino Zazón,83,Spain,78.0,81.0,82.0
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,Brazil,77.0,83.0,35.0
B. Chilwell,Ben Chilwell,83,England,60.0,78.0,78.0
F. Mendy,Ferland Mendy,83,France,64.0,76.0,78.0
P. Kimpembe,Presnel Kimpembe,83,France,43.0,68.0,83.0
C. Tolisso,Corentin Tolisso,83,France,77.0,79.0,76.0
